 ----  |                      Name                       |  $$$$  | ANdiv | divY%  |        Sector         |                            industry                            
 WVFC  | WVS Financial Corp.                             | 16.100 | 0.400 |  2.485 | Finance               | Banks
 IBKC  | IBERIABANK Corporation                          | 68.990 | 1.720 |  2.484 | Finance               | Major Banks
 PBBI  | PB Bancorp, Inc.                                | 11.200 | 0.280 |  2.478 | Finance               | Savings Institutions
 LTXB  | LegacyTexas Financial Group, Inc.               | 40.400 | 1.000 |  2.477 | Finance               | Savings Institutions
 SONA  | Southern National Bancorp of Virginia, Inc.     | 14.620 | 0.360 |  2.462 | Finance               | Major Banks
 FCCO  | First Community Corporation                     | 17.910 | 0.440 |  2.457 | Finance               | Major Banks
 SRCE  | 1st Source Corporation                          | 44.370 | 1.080 |  2.441 | Finance               | Major Banks
 JRVR  | James River Group Holdings, Ltd.                | 49.280 | 1.200 |  2.436 | Finance               | Property-Casualty Insurers
 SMMF  | Summit Financial Group, Inc.                    | 24.630 | 0.600 |  2.413 | Finance               | Major Banks
 GWRS  | Global Water Resources, Inc.                    | 11.910 | 0.286 |  2.412 | Public Utilities      | Water Supply
 WAFD  | Washington Federal, Inc.                        | 35.600 | 0.840 |  2.391 | Finance               | Major Banks
 ASRV  | AmeriServ Financial Inc.                        |  4.150 | 0.100 |  2.387 | Finance               | Major Banks
 BLMN  | Bloomin&#39; Brands, Inc.                       | 18.040 | 0.400 |  2.387 | Consumer Services     | Restaurants
 SABR  | Sabre Corporation                               | 23.640 | 0.560 |  2.378 | Technology            | Computer Software: Programming, Data Processing
 TSBK  | Timberland Bancorp, Inc.                        | 25.570 | 0.600 |  2.372 | Finance               | Banks
 TILE  | Interface, Inc.                                 | 11.050 | 0.260 |  2.368 | Consumer Durables     | Home Furnishings
 TYPE  | Monotype Imaging Holdings Inc.                  | 19.750 | 0.464 |  2.351 | Technology            | EDP Services
 BELFA | Bel Fuse Inc.                                   | 10.070 | 0.240 |  2.349 | Capital Goods         | Electrical Products
 SWKS  | Skyworks Solutions, Inc.                        | 75.270 | 1.760 |  2.348 | Technology            | Semiconductors
 EBMT  | Eagle Bancorp Montana, Inc.                     | 16.400 | 0.380 |  2.344 | Finance               | Major Banks
 TIPT  | Tiptree Inc.                                    |  6.940 | 0.160 |  2.343 | Finance               | Property-Casualty Insurers
 FBSS  | Fauquier Bankshares, Inc.                       | 20.600 | 0.480 |  2.330 | Finance               | Major Banks
 FMAO  | Farmers & Merchants Bancorp, Inc.               | 25.580 | 0.600 |  2.326 | Finance               | Savings Institutions
 MGRC  | McGrath RentCorp                                | 64.030 | 1.500 |  2.324 | Technology            | Diversified Commercial Services
 SSB   | South State Corporation                         | 73.580 | 1.720 |  2.318 | Finance               | Major Banks
 MBCN  | Middlefield Banc Corp.                          | 47.030 | 1.120 |  2.317 | Finance               | Major Banks
 KLIC  | Kulicke and Soffa Industries, Inc.              | 20.830 | 0.480 |  2.308 | Technology            | Semiconductors
 LECO  | Lincoln Electric Holdings, Inc.                 | 82.560 | 1.880 |  2.307 | Technology            | Industrial Machinery/Components
 BPOP  | Popular, Inc.                                   | 52.570 | 1.200 |  2.293 | Finance               | Major Banks
 HSII  | Heidrick & Struggles International, Inc.        | 26.550 | 0.600 |  2.281 | Technology            | Diversified Commercial Services
 CWBC  | Community West Bancshares                       |  9.680 | 0.220 |  2.273 | Finance               | Major Banks
 HBCP  | Home Bancorp, Inc.                              | 37.280 | 0.840 |  2.272 | Finance               | Banks
 GSBC  | Great Southern Bancorp, Inc.                    | 56.340 | 1.280 |  2.271 | Finance               | Major Banks
 CVCY  | Central Valley Community Bancorp                | 19.580 | 0.440 |  2.268 | Finance               | Major Banks
 CPHC  | Canterbury Park Holding Corporation             | 12.200 | 0.280 |  2.267 | Consumer Services     | Services-Misc. Amusement & Recreation
 WNEB  | Western New England Bancorp, Inc.               |  8.890 | 0.200 |  2.265 | Finance               | Savings Institutions
 GNTY  | Guaranty Bancshares, Inc.                       | 30.140 | 0.680 |  2.260 | Finance               | Major Banks
 SBFG  | SB Financial Group, Inc.                        | 16.180 | 0.360 |  2.246 | Finance               | Major Banks
 BANF  | BancFirst Corporation                           | 53.770 | 1.200 |  2.241 | Finance               | Major Banks
 FMBH  | First Mid Bancshares, Inc.                      | 32.090 | 0.720 |  2.237 | Finance               | Major Banks
 GABC  | German American Bancorp, Inc.                   | 30.530 | 0.680 |  2.214 | Finance               | Major Banks
 EBTC  | Enterprise Bancorp Inc                          | 28.930 | 0.640 |  2.203 | Finance               | Major Banks
 KFRC  | Kforce, Inc.                                    | 32.540 | 0.720 |  2.192 | Technology            | Professional Services
 NTIC  | Northern Technologies International Corporation | 10.950 | 0.240 |  2.192 | Capital Goods         | Industrial Specialties
 LBC   | Luther Burbank Corporation                      | 10.460 | 0.230 |  2.184 | Finance               | Major Banks
 EGBN  | Eagle Bancorp, Inc.                             | 40.740 | 0.880 |  2.183 | Finance               | Major Banks
 GFED  | Guaranty Federal Bancshares, Inc.               | 23.947 | 0.520 |  2.171 | Finance               | Major Banks
 RBB   | RBB Bancorp                                     | 18.430 | 0.400 |  2.165 | Finance               | Major Banks
 TCBK  | TriCo Bancshares                                | 35.360 | 0.760 |  2.162 | Finance               | Major Banks
 HWBK  | Hawthorn Bancshares, Inc.                       | 22.100 | 0.480 |  2.126 | Finance               | Major Banks
 VBTX  | Veritex Holdings, Inc.                          | 23.600 | 0.500 |  2.121 | Finance               | Major Banks
 AMRB  | American River Bankshares                       | 13.401 | 0.280 |  2.112 | Finance               | Major Banks
 CIVB  | Civista Bancshares, Inc.                        | 20.430 | 0.440 |  2.101 | Finance               | Major Banks
 OPBK  | OP Bancorp                                      |  9.500 | 0.200 |  2.096 | Finance               | Major Banks
 LCUT  | Lifetime Brands, Inc.                           |  7.720 | 0.170 |  2.091 | Capital Goods         | Industrial Machinery/Components
 BMRC  | Bank of Marin Bancorp                           | 40.610 | 0.840 |  2.082 | Finance               | Major Banks
 CRAI  | CRA International,Inc.                          | 38.890 | 0.800 |  2.075 | Miscellaneous         | Other Consumer Services
 NATH  | Nathan&#39;s Famous, Inc.                       | 66.600 | 1.400 |  2.075 | Consumer Services     | Restaurants
 HWKN  | Hawkins, Inc.                                   | 44.350 | 0.920 |  2.073 | Consumer Durables     | Specialty Chemicals
 CASS  | Cass Information Systems, Inc                   | 50.600 | 1.040 |  2.062 | Miscellaneous         | Business Services
 MTSC  | MTS Systems Corporation                         | 56.870 | 1.200 |  2.059 | Capital Goods         | Industrial Machinery/Components
 UIHC  | United Insurance Holdings Corp.                 | 11.720 | 0.240 |  2.055 | Finance               | Property-Casualty Insurers
 IBTX  | Independent Bank Group, Inc                     | 48.910 | 1.000 |  2.041 | Finance               | Major Banks
 COHU  | Cohu, Inc.                                      | 11.920 | 0.240 |  2.019 | Capital Goods         | Electrical Products
 HFBL  | Home Federal Bancorp, Inc. of Louisiana         | 31.921 | 0.640 |  2.005 | Finance               | Savings Institutions
 MLHR  | Herman Miller, Inc.                             | 42.280 | 0.840 |  2.005 | Consumer Durables     | Office Equipment/Supplies/Services
